iter	Passed	Remaining
581	3090	2219
582	3095	2214
583	3100	2208
584	3105	2202
585	3110	2197
586	3115	2192
587	3120	2186
588	3125	2180
589	3130	2175
590	3135	2169
591	3140	2164
592	3145	2158
593	3151	2153
594	3156	2148
595	3162	2143
596	3169	2139
597	3174	2134
598	3179	2128
599	3184	2123
600	3189	2117
601	3194	2112
602	3200	2107
603	3205	2101
604	3210	2095
605	3215	2090
606	3219	2084
607	3224	2079
608	3229	2073
609	3234	2067
610	3239	2062
611	3244	2056
612	3249	2051
613	3254	2045
614	3259	2040
615	3264	2035
616	3269	2029
617	3274	2024
618	3279	2018
619	3284	2012
620	3289	2007
621	3294	2002
622	3299	1996
623	3304	1991
624	3309	1985
625	3315	1980
626	3320	1975
627	3325	1969
628	3330	1964
629	3335	1959
630	3340	1953
631	3345	1948
632	3350	1942
633	3355	1937
634	3361	1932
635	3366	1926
636	3371	1921
637	3377	1916
638	3383	1911
639	3387	1905
640	3393	1900
641	3398	1895
642	3403	1889
643	3408	1884
644	3413	1878
645	3418	1873
646	3423	1867
647	3428	1862
648	3433	1856
649	3438	1851
650	3443	1846
651	3449	1840
652	3454	1835
653	3460	1830
654	3465	1825
655	3470	1819
656	3476	1814
657	3480	1809
658	3485	1803
659	3490	1798
660	3496	1793
661	3501	1787
662	3506	1782
663	3511	1776
664	3516	1771
665	3522	1766
666	3526	1760
667	3531	1755
668	3536	1749
669	3542	1744
670	3547	1739
671	3552	1733
672	3557	1728
673	3562	1723
674	3567	1717
675	3572	1712
676	3577	1706
677	3583	1701
678	3588	1696
679	3593	1691
680	3599	1686
681	3604	1680
682	3609	1675
683	3615	1670
684	3620	1664
685	3625	1659
686	3630	1654
687	3636	1648
688	3641	1643
689	3646	1638
690	3651	1632
691	3655	1627
692	3660	1621
693	3665	1616
694	3670	1610
695	3675	1605
696	3680	1599
697	3685	1594
698	3690	1589
699	3695	1583
700	3700	1578
701	3705	1572
702	3710	1567
703	3714	1561
704	3719	1556
705	3724	1550
706	3729	1545
707	3734	1540
708	3739	1534
709	3744	1529
710	3748	1523
711	3753	1518
712	3758	1512
713	3763	1507
714	3767	1501
715	3772	1496
716	3777	1491
717	3782	1485
718	3787	1480
719	3792	1474
720	3797	1469
721	3802	1464
722	3807	1458
723	3812	1453
724	3817	1447
725	3822	1442
726	3827	1437
727	3832	1431
728	3837	1426
729	3842	1421
730	3847	1415
731	3852	1410
732	3856	1404
733	3861	1399
734	3866	1394
735	3871	1388
736	3877	1383
737	3881	1378
738	3886	1372
739	3891	1367
740	3896	1361
741	3901	1356
742	3906	1351
743	3911	1345
744	3916	1340
745	3921	1335
746	3926	1329
747	3931	1324
748	3936	1319
749	3942	1314
750	3946	1308
751	3951	1303
752	3957	1298
753	3962	1292
754	3967	1287
755	3972	1282
756	3977	1276
757	3982	1271
758	3987	1266
759	3992	1260
760	3997	1255
761	4003	1250
762	4007	1244
763	4012	1239
764	4017	1234
765	4023	1228
766	4027	1223
767	4033	1218
768	4038	1213
769	4043	1207
770	4048	1202
771	4053	1197
772	4058	1191
773	4063	1186
774	4068	1181
775	4073	1175
776	4078	1170
777	4084	1165
778	4089	1160
779	4093	1154
780	4099	1149
781	4104	1144
782	4110	1139
783	4117	1134
784	4122	1129
785	4129	1124
786	4134	1119
787	4140	1114
788	4146	1108
789	4152	1103
790	4157	1098
791	4163	1093
792	4168	1088
793	4173	1082
794	4178	1077
795	4183	1072
796	4188	1066
797	4193	1061
798	4198	1056
799	4203	1050
800	4207	1045
801	4212	1040
802	4217	1034
803	4222	1029
804	4227	1023
805	4232	1018
806	4237	1013
807	4241	1007
808	4246	1002
809	4252	997
810	4256	992
811	4261	986
812	4266	981
813	4271	975
814	4276	970
815	4280	965
816	4286	960
817	4290	954
818	4295	949
819	4300	944
820	4305	938
821	4310	933
822	4315	928
823	4319	922
824	4324	917
825	4330	912
826	4335	906
827	4340	901
828	4345	896
829	4351	891
830	4356	885
831	4360	880
832	4365	875
833	4370	869
834	4375	864
835	4380	859
836	4385	854
837	4391	848
838	4396	843
839	4403	838
840	4407	833
841	4412	828
842	4418	822
843	4423	817
844	4428	812
845	4434	807
846	4439	801
847	4444	796
848	4449	791
849	4454	786
850	4459	780
851	4465	775
852	4470	770
853	4474	765
854	4479	759
855	4484	754
856	4489	749
857	4495	743
858	4500	738
859	4505	733
860	4510	728
861	4515	722
862	4520	717
863	4525	712
864	4530	707
865	4535	701
866	4541	696
867	4546	691
868	4551	686
869	4556	680
870	4562	675
871	4566	670
872	4572	665
873	4577	659
874	4582	654
875	4587	649
876	4593	644
877	4598	638
878	4603	633
879	4608	628
880	4612	623
881	4617	617
882	4622	612
883	4627	607
884	4631	601
885	4636	596
886	4641	591
887	4646	586
888	4651	580
889	4656	575
890	4660	570
891	4665	564
892	4670	559
893	4675	554
894	4679	549
895	4684	543
896	4689	538
897	4694	533
898	4700	528
899	4705	522
900	4710	517
901	4715	512
902	4720	507
903	4725	501
904	4730	496
905	4735	491
906	4740	486
907	4745	480
908	4750	475
909	4755	470
910	4760	465
911	4765	459
912	4770	454
913	4775	449
914	4781	444
915	4787	438
916	4791	433
917	4796	428
918	4801	423
919	4806	417
920	4812	412
921	4817	407
922	4822	402
923	4827	397
924	4832	391
925	4837	386
926	4843	381
927	4848	376
928	4853	370
929	4858	365
930	4863	360
931	4868	355
932	4873	349
933	4879	344
934	4884	339
935	4889	334
936	4894	329
937	4900	323
938	4905	318
939	4910	313
940	4915	308
941	4920	302
942	4926	297
943	4931	292
944	4936	287
945	4941	282
946	4946	276
947	4951	271
948	4956	266
949	4961	261
950	4966	255
951	4970	250
952	4975	245
953	4981	240
954	4986	234
955	4991	229
956	4996	224
957	5000	219
958	5005	214
959	5010	208
960	5015	203
961	5020	198
962	5025	193
963	5031	187
964	5036	182
965	5040	177
966	5045	172
967	5050	166
968	5055	161
969	5061	156
970	5067	151
971	5072	146
972	5077	140
973	5082	135
974	5087	130
975	5093	125
976	5098	120
977	5103	114
978	5108	109
979	5113	104
980	5118	99
981	5123	93
982	5128	88
983	5133	83
984	5138	78
985	5143	73
986	5148	67
987	5153	62
988	5157	57
989	5163	52
990	5168	46
991	5173	41
992	5178	36
993	5183	31
994	5189	26
995	5194	20
996	5198	15
997	5204	10
998	5209	5
999	5215	0
